84
    1627887200	sun
    3395006840	sunny
    7991840077	sunshine
    2595609600	soup
    1742063600	sup
    6176479700	supper
    8133180011	surridge
    1007824500	was
     879975500	his
     839720500	he
     805811000	it
     772551200	with
     755747700	is
     709798100	for
     703754300	as
     613933600	had
     604890300	you
     574180300	not
     566252700	be
     520250100	her
     511326300	on
     509184100	at
     506105000	by
     458090600	which
     434650000	have
     422828700	or
     410811100	from
     401542500	this
     397199700	him
     389421100	but
     370334200	all
     341584600	she
     334039800	they
     332388400	were
     327769900	my
     322417800	are
     302713400	me
     283256900	one
     282026500	their
     280248100	so
     264141700	an
     263713600	said
     250991700	them
     249165500	we
     247266300	who
     240085800	would
     235765400	been
     232002200	will
     224114500	no
     198004600	when
     196120000	there
     195110200	if
     189978700	more
     187535100	out
     179271200	up
     170396300	into
     168016400	do
     166536600	any
     165855300	your
     160590800	what
      18407400	show
      18406800	party
      18305900	fine
      18297800	ye
      18186600	ready
      18099800	story
      18006100	common
      17973900	book
      17934700	electronic
      17887700	talk
      17845200	account
      17808400	mark
      17800100	interest
      17723200	written
      17672800	can't
      17663500	bed
      17646700	necessary
      17632000	age
      17598000	else
        392640	repressed
        392481	cooperation
        392402	sequel
        392402	wench
        392323	calves
